,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file_x,combined_address_x,ADDRESS_V1,fuzzy_match,match_confidence,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file_y,combined_address_y,_merge
6683,2131FCF5-B7C6-86E8-E063-4804A8C0372B,678000,2024-07-29,SL6 2NL,S,N,F,nan,1,THE FIELDINGS,HOLYPORT,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF5-B7C6-86E8-E063-4804A8C0372B/current,./data-land_registry/SL6-march2020-to-nov2025.csv,1 the fieldings nan sl6 2nl,1 THE FIELDINGS SL6 2NL,1 the fieldings holyport sl6 2nl,81.35593220338984,0658bd52943b0558efa6789e14da3da798d89703b6551d45b70091b08c062832,1 The Fieldings,Holyport,,SL6 2NL,10002996350.0,C,B,72.0,83.0,House,Semi-Detached,2022-08-31,E06000040,E14000803,,2022-09-01,marketed sale,68.0,80.0,167.0,97.0,4.0,29.0,2.4,149.0,96.0,569.0,553.0,155.0,82.0,137.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,1.0,7.0,7.0,45.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,,,,"Pitched, insulated at rafters",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 45% of fixed outlets,Good,Good,mains gas (not community),0.0,,,2.4,0.0,N,natural,"1 The Fieldings, Holyport",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1983-1990,2022-09-01 12:24:15,Owner-occupied,31.0,,100080366297.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,1 the fieldings holyport sl6 2nl,both
6684,F5E8B080-E4FF-3A13-E053-6C04A8C060B7,760000,2023-01-25,SL6 2NL,S,N,F,nan,4,THE FIELDINGS,HOLYPORT,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-E4FF-3A13-E053-6C04A8C060B7/current,./data-land_registry/SL6-march2020-to-nov2025.csv,4 the fieldings nan sl6 2nl,4 THE FIELDINGS SL6 2NL,4 the fieldings holyport sl6 2nl,81.35593220338984,231151890262009022510083708648751,"4, The Fieldings",Holyport,,SL6 2NL,5054928568.0,D,C,63.0,74.0,House,Semi-Detached,2009-02-24,E06000040,E14000803,,2009-02-25,rental (private),58.0,70.0,249.0,174.0,5.9,41.0,4.2,125.0,66.0,653.0,474.0,149.0,129.0,159.4,Single,Y,NO DATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,2.0,6.0,6.0,10.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.32,0.0,N,natural,"4, The Fieldings, Holyport",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1967-1975,2009-02-25 10:08:37,rental (private),,,100080366300.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,4 the fieldings holyport sl6 2nl,both
6685,F5E8B080-E4FF-3A13-E053-6C04A8C060B7,760000,2023-01-25,SL6 2NL,S,N,F,nan,4,THE FIELDINGS,HOLYPORT,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-E4FF-3A13-E053-6C04A8C060B7/current,./data-land_registry/SL6-march2020-to-nov2025.csv,4 the fieldings nan sl6 2nl,4 THE FIELDINGS SL6 2NL,4 the fieldings holyport sl6 2nl,81.35593220338984,c4a1587b6127758cb6d539e8d34e02c59a660289feb37510d52772043f1e049a,4 The Fieldings,Holyport,,SL6 2NL,10003226548.0,C,B,71.0,84.0,House,Semi-Detached,2022-07-14,E06000040,E14000803,,2022-07-14,marketed sale,67.0,81.0,177.0,88.0,4.0,31.0,2.0,106.0,106.0,639.0,506.0,97.0,69.0,128.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,Normal,4.0,7.0,7.0,86.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 86% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.32,0.0,N,natural,"4 The Fieldings, Holyport",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1967-1975,2022-07-14 12:53:18,Owner-occupied,49.0,,100080366300.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,4 the fieldings holyport sl6 2nl,both
6686,F16F63C5-63AD-0491-E053-6C04A8C032ED,1100000,2022-11-10,SL6 2NL,D,N,F,nan,7,THE FIELDINGS,HOLYPORT,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/F16F63C5-63AD-0491-E053-6C04A8C032ED/current,./data-land_registry/SL6-march2020-to-nov2025.csv,7 the fieldings nan sl6 2nl,7 THE FIELDINGS SL6 2NL,7 the fieldings holyport sl6 2nl,81.35593220338984,8c26d618ace4abdf3cce3e57dedde6b122de29b8a980759c994cc8367eb09a9a,7 The Fieldings,Holyport,,SL6 2NL,10003268941.0,D,C,59.0,76.0,House,Detached,2022-08-04,E06000040,E14000803,,2022-08-05,marketed sale,49.0,69.0,235.0,134.0,8.5,43.0,5.0,213.0,122.0,1308.0,994.0,187.0,114.0,198.0,Single,Y,,,,,100.0,double glazing installed before 2002,Normal,1.0,8.0,8.0,25.0,0.0,From main system,Average,Average,"Solid, limited insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas (not community),0.0,,,2.36,0.0,N,natural,"7 The Fieldings, Holyport",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1996-2002,2022-08-05 11:54:54,Owner-occupied,40.0,,100080366302.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,7 the fieldings holyport sl6 2nl,both
6712,2ACACE8C-91F1-295E-E063-4804A8C0B0EB,650000,2024-12-06,SL6 2NX,T,N,F,2,MEMORIAL HALL COTTAGES,FIFIELD ROAD,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-91F1-295E-E063-4804A8C0B0EB/current,./data-land_registry/SL6-march2020-to-nov2025.csv,memorial hall cottages fifield road 2 sl6 2nx,MEMORIAL HALL COTTAGES FIFIELD ROAD SL6 2NX,3 memorial cottage fifield road fifield sl6 2nx,82.6086956521739,331241619242012021317525966529078,3 Memorial Cottage,Fifield Road,Fifield,SL6 2NX,6281815668.0,E,D,50.0,64.0,House,End-Terrace,2012-02-13,E06000040,E14000803,,2012-02-13,marketed sale,45.0,59.0,308.0,219.0,6.8,60.0,4.8,104.0,56.0,1140.0,832.0,92.0,92.0,102.3,Single,Y,NODATA!,,,2107.0,100.0,double glazing installed during or after 2002,Normal,2.0,5.0,5.0,13.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 13% of fixed outlets,Poor,Poor,mains gas (not community),0.0,NO DATA!,,2.44,0.0,,natural,"3 Memorial Cottage, Fifield Road, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1930-1949,2012-02-13 17:52:59,owner-occupied,15.0,2.0,100081047203.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,3 memorial cottage fifield road fifield sl6 2nx,both
6713,2ACACE8C-91F1-295E-E063-4804A8C0B0EB,650000,2024-12-06,SL6 2NX,T,N,F,2,MEMORIAL HALL COTTAGES,FIFIELD ROAD,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-91F1-295E-E063-4804A8C0B0EB/current,./data-land_registry/SL6-march2020-to-nov2025.csv,memorial hall cottages fifield road 2 sl6 2nx,MEMORIAL HALL COTTAGES FIFIELD ROAD SL6 2NX,3 memorial cottage fifield road fifield sl6 2nx,82.6086956521739,7ec1b300ce9b99461ad3a55bee3d53d25f366d6e3d890c00c3860cab6a1a86ab,3 Memorial Cottage,Fifield Road,Fifield,SL6 2NX,6281815668.0,E,C,51.0,70.0,House,End-Terrace,2022-01-28,E06000040,E14000803,,2022-02-11,rental,51.0,71.0,313.0,182.0,5.4,47.0,3.0,85.0,85.0,1168.0,892.0,99.0,70.0,115.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,More Than Typical,3.0,7.0,7.0,100.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, wood logs",,,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.41,0.0,N,natural,"3 Memorial Cottage, Fifield Road, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2022-02-11 11:13:16,Rented (private),16.0,,100081047203.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,3 memorial cottage fifield road fifield sl6 2nx,both
6714,2ACACE8C-91F1-295E-E063-4804A8C0B0EB,650000,2024-12-06,SL6 2NX,T,N,F,2,MEMORIAL HALL COTTAGES,FIFIELD ROAD,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-91F1-295E-E063-4804A8C0B0EB/current,./data-land_registry/SL6-march2020-to-nov2025.csv,memorial hall cottages fifield road 2 sl6 2nx,MEMORIAL HALL COTTAGES FIFIELD ROAD SL6 2NX,3 memorial cottage fifield road fifield sl6 2nx,82.6086956521739,331241610242009072221311360512628,3 Memorial Cottage,Fifield Road,Fifield,SL6 2NX,6281815668.0,G,F,3.0,36.0,House,End-Terrace,2009-07-22,E06000040,E14000803,,2009-07-22,marketed sale,1.0,82.0,811.0,298.0,20.0,200.0,1.9,101.0,51.0,1934.0,927.0,327.0,327.0,100.52,Single,N,NO DATA!,,,2601.0,100.0,double glazing installed during or after 2002,Normal,0.0,5.0,3.0,0.0,3.0,"Electric immersion, standard tariff",Very Poor,Poor,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,Portable electric heaters,,,"Pitched, 50 mm loft insulation",Poor,Poor,"Room heaters, coal",Very Poor,Very Poor,No thermostatic control of room temperature,Poor,Poor,No low energy lighting,Very Poor,Very Poor,INVALID!,0.0,NO DATA!,,2.37,0.0,N,natural,"3 Memorial Cottage, Fifield Road, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1930-1949,2009-07-22 21:31:13,owner-occupied,,,100081047203.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,3 memorial cottage fifield road fifield sl6 2nx,both
6727,D22473F4-DA89-7B40-E053-6C04A8C0A630,511500,2021-06-11,SL6 2PD,S,N,F,nan,4,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DA89-7B40-E053-6C04A8C0A630/current,./data-land_registry/SL6-march2020-to-nov2025.csv,4 stewart close nan sl6 2pd,4 STEWART CLOSE SL6 2PD,4 stewart close fifield sl6 2pd,82.75862068965517,235667512262020062512454488328570,"4, Stewart Close",Fifield,,SL6 2PD,7885158568.0,D,B,64.0,81.0,House,Semi-Detached,2020-06-22,E06000040,E14000803,,2020-06-25,marketed sale,61.0,81.0,223.0,108.0,4.3,37.0,2.0,82.0,82.0,796.0,607.0,135.0,73.0,117.0,Unknown,Y,NODATA!,,,2107.0,100.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Room heaters, wood logs",,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"4, Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1967-1975,2020-06-25 12:45:44,owner-occupied,,,200001614899.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,4 stewart close fifield sl6 2pd,both
6728,D22473F4-DA89-7B40-E053-6C04A8C0A630,511500,2021-06-11,SL6 2PD,S,N,F,nan,4,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DA89-7B40-E053-6C04A8C0A630/current,./data-land_registry/SL6-march2020-to-nov2025.csv,4 stewart close nan sl6 2pd,4 STEWART CLOSE SL6 2PD,4 stewart close fifield sl6 2pd,82.75862068965517,235667510262009022809375788438171,"4, Stewart Close",Fifield,,SL6 2PD,7885158568.0,E,D,48.0,64.0,House,Semi-Detached,2009-02-27,E06000040,E14000803,,2009-02-28,marketed sale,47.0,63.0,375.0,258.0,6.3,57.0,4.3,80.0,53.0,962.0,674.0,114.0,101.0,124.353,Single,Y,NO DATA!,,,2102.0,100.0,double glazing installed before 2002,Normal,1.0,5.0,5.0,50.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, wood logs",,,"Flat, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.37,0.0,N,natural,"4, Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2009-02-28 09:37:57,owner-occupied,,,200001614899.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,4 stewart close fifield sl6 2pd,both
6729,D22473F4-DA89-7B40-E053-6C04A8C0A630,511500,2021-06-11,SL6 2PD,S,N,F,nan,4,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/D22473F4-DA89-7B40-E053-6C04A8C0A630/current,./data-land_registry/SL6-march2020-to-nov2025.csv,4 stewart close nan sl6 2pd,4 STEWART CLOSE SL6 2PD,4 stewart close fifield sl6 2pd,82.75862068965517,235667591252010070720044295000758,"4, Stewart Close",Fifield,,SL6 2PD,7885158568.0,D,C,56.0,72.0,House,Semi-Detached,2010-07-07,E06000040,E14000803,,2010-07-07,marketed sale,55.0,71.0,309.0,199.0,5.1,47.0,3.3,115.0,57.0,841.0,556.0,129.0,121.0,107.12,Unknown,Y,NO DATA!,,,2102.0,100.0,double glazing installed before 2002,Normal,1.0,6.0,6.0,0.0,1.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, wood logs",,,"Flat, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.39,0.0,N,natural,"4, Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2010-07-07 20:04:42,owner-occupied,,,200001614899.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,4 stewart close fifield sl6 2pd,both
6730,237B17FD-A35D-22AC-E063-4804A8C0EA3A,590000,2024-08-09,SL6 2PD,D,N,F,nan,8,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FD-A35D-22AC-E063-4804A8C0EA3A/current,./data-land_registry/SL6-march2020-to-nov2025.csv,8 stewart close nan sl6 2pd,8 STEWART CLOSE SL6 2PD,8 stewart close fifield sl6 2pd,82.75862068965517,6cc2d9f6320df8f3926cdfc624290271e97e65803760f237408e05146fb4429a,8 Stewart Close,Fifield,,SL6 2PD,10005794383.0,D,B,64.0,84.0,Bungalow,Detached,2024-03-15,E06000040,E14000803,,2024-03-15,marketed sale,58.0,82.0,251.0,97.0,3.7,44.0,1.5,153.0,111.0,1138.0,799.0,214.0,129.0,84.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,More Than Typical,1.0,3.0,3.0,63.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 63% of fixed outlets,Good,Good,mains gas (not community),0.0,,,2.43,0.0,N,natural,"8 Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2024-03-15 11:15:51,Owner-occupied,8.0,,200001614904.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,8 stewart close fifield sl6 2pd,both
6731,DBA933F8-F928-669D-E053-6B04A8C0AD56,515000,2021-11-16,SL6 2PD,S,N,F,nan,10,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/DBA933F8-F928-669D-E053-6B04A8C0AD56/current,./data-land_registry/SL6-march2020-to-nov2025.csv,10 stewart close nan sl6 2pd,10 STEWART CLOSE SL6 2PD,10 stewart close fifield sl6 2pd,83.33333333333334,1493484112262020062513130328628160,"10, Stewart Close",Fifield,,SL6 2PD,6273128478.0,D,B,68.0,82.0,Bungalow,Detached,2020-06-22,E06000040,E14000803,,2020-06-25,marketed sale,65.0,79.0,207.0,109.0,3.3,36.0,1.8,101.0,70.0,564.0,513.0,101.0,70.0,92.0,Unknown,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,1.0,4.0,4.0,56.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 56% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"10, Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2020-06-25 13:13:03,owner-occupied,,,200001614870.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,10 stewart close fifield sl6 2pd,both
6732,DBA933F8-F928-669D-E053-6B04A8C0AD56,515000,2021-11-16,SL6 2PD,S,N,F,nan,10,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/DBA933F8-F928-669D-E053-6B04A8C0AD56/current,./data-land_registry/SL6-march2020-to-nov2025.csv,10 stewart close nan sl6 2pd,10 STEWART CLOSE SL6 2PD,10 stewart close fifield sl6 2pd,83.33333333333334,aa460c807b4eb1204cd929624baee156e4cc87512ab836e0ce0242730b6308d8,10 Stewart Close,Fifield,,SL6 2PD,10007547979.0,C,B,70.0,82.0,Bungalow,Detached,2025-05-16,E06000040,E14001348,,2025-05-16,marketed sale,66.0,79.0,200.0,111.0,3.1,35.0,1.8,90.0,90.0,785.0,732.0,124.0,80.0,89.0,Unknown,Y,,,,,100.0,double glazing installed during or after 2002,Normal,1.0,4.0,4.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,1.0,0.0,N,natural,"10 Stewart Close, Fifield",Windsor and Maidenhead,,MAIDENHEAD,England and Wales: 1967-1975,2025-05-16 14:34:39,Owner-occupied,19.0,,200001614870.0,Energy Assessor,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,10 stewart close fifield sl6 2pd,both
6733,D707E534-CC26-0AD9-E053-6B04A8C067CC,715000,2021-06-11,SL6 2PD,D,N,F,nan,18,STEWART CLOSE,FIFIELD,MAIDENHEAD,WINDSOR AND MAIDENHEAD,WINDSOR AND MAIDENHEAD,A,http://landregistry.data.gov.uk/data/ppi/transaction/D707E534-CC26-0AD9-E053-6B04A8C067CC/current,./data-land_registry/SL6-march2020-to-nov2025.csv,18 stewart close nan sl6 2pd,18 STEWART CLOSE SL6 2PD,18 stewart close fifield sl6 2pd,83.33333333333334,1493322012222020082122320088698020,"18, Stewart Close",Fifield,,SL6 2PD,2873128478.0,D,B,67.0,84.0,House,Detached,2020-08-21,E06000040,E14000803,,2020-08-21,marketed sale,60.0,81.0,205.0,90.0,4.8,36.0,2.1,91.0,91.0,755.0,554.0,177.0,76.0,132.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,1.0,7.0,7.0,100.0,0.0,From main system,Average,Average,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"18, Stewart Close, Fifield",Windsor and Maidenhead,Maidenhead,MAIDENHEAD,England and Wales: 1950-1966,2020-08-21 22:32:00,owner-occupied,,,200001614878.0,Address Matched,100.0,data-epc/domestic-E06000040-Windsor-and-Maidenhead/certificates.csv,18 stewart close fifield sl6 2pd,both
